method,mean_intensity,std_intensity,contrast_ratio,laplacian_variance,entropy,edge_density,dynamic_range,local_contrast_consistency,filename,split,source
mild_clahe_percentile,0.794187,0.19338097,0.24349519825236382,65.80371485137948,6.8826018854441795,0.029694557189941406,1.0,23.21612289449181,meattest-31_r6_c0.jpg,train,dataset_tile
percentile_only,0.8137891,0.18935516,0.23268304438534798,20.48938707668276,6.426939605853051,0.01090240478515625,1.0,31.69330436277483,meattest-31_r6_c0.jpg,train,dataset_tile
current_zscore,8.789128e-05,0.003258304,36.654932294257506,0.07135677304813726,0.5363063661461467,0.0,0.036172822,1413.6138274636899,6 BEEF Shoulder -1_grid_5x5_r6_c1_r4_c2.jpg,train,dataset_tile
clahe_percentile,0.6979962,0.14845462,0.21268655750916163,147.2438840822783,6.915524562037052,0.08708763122558594,1.0,30.43725930593988,6 BEEF Shoulder -1_grid_5x5_r6_c1_r4_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.72521025,0.1313107,0.18106545020438727,119.665764754062,6.66326437688627,0.06705379486083984,1.0,32.01276168123409,6 BEEF Shoulder -1_grid_5x5_r6_c1_r4_c2.jpg,train,dataset_tile
percentile_only,0.74783635,0.11147564,0.14906401617590492,39.87517907771689,6.205870204831962,0.013170242309570312,1.0,41.63034449475579,6 BEEF Shoulder -1_grid_5x5_r6_c1_r4_c2.jpg,train,dataset_tile
current_zscore,0.0019739917,0.0040228064,2.036872519280978,0.12120342214529956,0.9866476352169826,0.0,0.034309845,1127.963459717129,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c9.jpg,train,dataset_tile
clahe_percentile,0.77187836,0.156705,0.2030174852862051,112.80258682075873,6.905456166702379,0.07551193237304688,1.0,25.722318888484697,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c9.jpg,train,dataset_tile
mild_clahe_percentile,0.7920565,0.14260425,0.18004279559429148,95.11876357740991,6.71737827249561,0.06517887115478516,1.0,26.30342467170781,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c9.jpg,train,dataset_tile
percentile_only,0.8226375,0.1301897,0.1582587031501244,35.12636560201645,6.347464697357022,0.021216392517089844,1.0,34.92830211728274,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c9.jpg,train,dataset_tile
current_zscore,-0.0014698937,0.0045212368,-3.077987645980435,0.06853771209625847,0.9823980595412372,0.0,0.033999346,1219.460677951825,3rd Meat_grid_5x5_r0_c1_r0_c6.jpg,train,dataset_tile
clahe_percentile,0.60086286,0.19739082,0.3285117269876831,92.45392816908134,7.483046514024636,0.070526123046875,1.0,25.64092607634016,3rd Meat_grid_5x5_r0_c1_r0_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.63325953,0.17780031,0.28076960880624086,78.21441904472047,7.271211431238719,0.0559844970703125,1.0,27.526803712355417,3rd Meat_grid_5x5_r0_c1_r0_c6.jpg,train,dataset_tile
percentile_only,0.68193334,0.153141,0.22456855019423894,28.783271529936428,6.796658848613386,0.013502120971679688,1.0,36.09129869960447,3rd Meat_grid_5x5_r0_c1_r0_c6.jpg,train,dataset_tile
current_zscore,-0.008137651,0.0062867217,-0.7726424348935859,0.0408782958984375,0.8269185352201629,0.0,0.036638565,936.9547531710092,Meat_Lauren_r1_c5.jpg,train,dataset_tile
clahe_percentile,0.50864995,0.22727722,0.4468235465083669,81.55212128138737,7.79045479085273,0.07706737518310547,1.0,22.339540331619567,Meat_Lauren_r1_c5.jpg,train,dataset_tile
mild_clahe_percentile,0.5253661,0.20452948,0.38930772110310335,71.02177372724691,7.624767418618093,0.0642547607421875,1.0,24.069721018080713,Meat_Lauren_r1_c5.jpg,train,dataset_tile
percentile_only,0.56254435,0.17997035,0.31992150529309,26.996742164483294,7.308500196184953,0.01732635498046875,1.0,32.763558860177845,Meat_Lauren_r1_c5.jpg,train,dataset_tile
current_zscore,-0.0013281616,0.005903232,-4.448013001584298,0.12675762172057148,0.9670721189067677,0.0,0.037570056,622.4372460523574,meattest-6_r0_c2.jpg,train,dataset_tile
clahe_percentile,0.6455443,0.22414532,0.34721858608820383,105.28886012184375,7.6966465777050015,0.10609149932861328,1.0,19.850612611204518,meattest-6_r0_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.6809415,0.20346753,0.2988028010917484,86.67264983242666,7.521618389791357,0.08633136749267578,1.0,20.03239440850402,meattest-6_r0_c2.jpg,train,dataset_tile
percentile_only,0.7486449,0.16319114,0.21798174841589593,33.62793783126017,7.082081568684286,0.028604507446289062,1.0,22.530206439673176,meattest-6_r0_c2.jpg,train,dataset_tile
current_zscore,-0.0049273414,0.0062979483,-1.2784230412726085,0.038283348060758726,0.908058110763211,0.0,0.036793817,1290.7640436723784,6 BEEF Shoulder -1_grid_5x5_r2_c1_r6_c0.jpg,train,dataset_tile
clahe_percentile,0.5785481,0.23497419,0.4061439232149581,53.10337869765408,7.750579974516154,0.04035663604736328,1.0,26.863452935185087,6 BEEF Shoulder -1_grid_5x5_r2_c1_r6_c0.jpg,train,dataset_tile
